中島敦  山月記	OH_SC青空文庫	1740	1760	I	ある	有る	アル	動詞-非自立可能	五段-ラ行	終止形-一般	アル	和
中島敦  山月記	OH_SC青空文庫	1760	1770	I	。	。		補助記号-句点				記号
中島敦  山月記	OH_SC青空文庫	1770	1800	B	しかし	然し	シカシ	接続詞			シカシ	和
中島敦  山月記	OH_SC青空文庫	1800	1810	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	1810	1830	I	文名	文名	ブンメイ	名詞-普通名詞-一般			ブンメー	漢
中島敦  山月記	OH_SC青空文庫	1830	1840	I	は	は	ハ	助詞-係助詞			ワ	和
中島敦  山月記	OH_SC青空文庫	1840	1860	I	容易	容易	ヨウイ	形状詞-一般			ヨーイ	漢
中島敦  山月記	OH_SC青空文庫	1860	1870	I	に	だ	ダ	助動詞	助動詞-ダ	連用形-ニ	ニ	和
中島敦  山月記	OH_SC青空文庫	1870	1890	I	揚ら	上がる	アガル	動詞-一般	五段-ラ行	未然形-一般	アガラ	和
中島敦  山月記	OH_SC青空文庫	1890	1900	I	ず	ず	ズ	助動詞	助動詞-ヌ	連用形-一般	ズ	和
中島敦  山月記	OH_SC青空文庫	1900	1910	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	1910	1930	I	生活	生活	セイカツ	名詞-普通名詞-サ変可能			セーカツ	漢
中島敦  山月記	OH_SC青空文庫	1930	1940	I	は	は	ハ	助詞-係助詞			ワ	和
中島敦  山月記	OH_SC青空文庫	1940	1950	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
中島敦  山月記	OH_SC青空文庫	1950	1960	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦  山月記	OH_SC青空文庫	1960	1980	I	逐う	追う	オウ	動詞-一般	五段-ワア行	連用形-ウ音便	オー	和
中島敦  山月記	OH_SC青空文庫	1980	1990	I	て	て	テ	助詞-接続助詞			テ	和
中島敦  山月記	OH_SC青空文庫	1990	2020	I	苦しく	苦しい	クルシイ	形容詞-一般	形容詞	連用形-一般	クルシク	和
