新美南吉 手袋を買いに	OH_SC青空文庫	1520	1540	I	抑え	押さえる	オサエル	動詞-一般	下一段-ア行	連用形-一般	オサエ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1540	1550	I	て	て	テ	助詞-接続助詞			テ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1550	1570	I	いる	居る	イル	動詞-非自立可能	上一段-ア行	連体形-一般	イル	和
新美南吉 手袋を買いに	OH_SC青空文庫	1570	1590	I	子供	子供	コドモ	名詞-普通名詞-一般			コドモ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1590	1600	I	の	の	ノ	助詞-格助詞			ノ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1600	1610	I	手	手	テ	名詞-普通名詞-助数詞可能			テ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1610	1620	I	を	を	ヲ	助詞-格助詞			オ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1620	1660	I	恐る恐る	恐る恐る	オソルオソル	副詞			オソルオソル	和
新美南吉 手袋を買いに	OH_SC青空文庫	1660	1700	I	とりのけ	取り除ける	トリノケル	動詞-一般	下一段-カ行	連用形-一般	トリノケ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1700	1710	I	て	て	テ	助詞-接続助詞			テ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1710	1720	I	見	見る	ミル	動詞-非自立可能	上一段-マ行	連用形-一般	ミ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1720	1740	I	まし	ます	マス	助動詞	助動詞-マス	連用形-一般	マシ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1740	1750	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1750	1760	I	が	が	ガ	助詞-接続助詞			ガ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1760	1770	I	、	、		補助記号-読点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	1770	1780	I	何	何	ナニ	代名詞			ナニ	和
